#,Answer,%,Count
1,Car,16.35%,17
2,Motorcycle,0.00%,0
3,Bus,38.46%,40
4,Light rail,10.58%,11
5,"Shared bicycles - LimeBike, etc.",7.69%,8
6,Walk,25.00%,26
7,Other,1.92%,2
,Total,100%,104
