#,Answer,%,Count
1,Less than high school degree,0.00%,0
2,High school graduate,0.00%,0
3,Some college but no degree,4.35%,2
4,Associate degree in college (2-year),2.17%,1
5,Bachelor's degree in college (4-year),41.30%,19
6,Master's degree,45.65%,21
7,Doctoral degree,6.52%,3
8,"Professional degree (JD, MD)",0.00%,0
9,I do not wish to answer,0.00%,0
,Total,100%,46
