#,Answer,%,Count
1,A longer survey (5 minutes Q&A),16.90%,12
2,15 minute in person interview,12.68%,9
7,15 minute interview over phone call,9.86%,7
3,15 minute online interview - Skype/Hangout/Zoom,11.27%,8
4,15 minute discussion on online podcast show,7.04%,5
5,30 minute focus group discussion,2.82%,2
6,"No, I am not interested",39.44%,28
,Total,100%,71
